,PM2,PM10,SO2,NO2,CO,O3,U,V,TEMP,RH,PSFC,lat,lon,province
0,20.21,23.56,8.65,4.58,0.29,63.44,-2.48,-2.31,291.54,68.14,100350.11,18.34,109.25,海南省
1,20.41,23.96,9.28,5.24,0.29,62.53,-3.43,-3.21,291.96,67.41,100546.63,18.34,109.38,海南省
2,21.17,24.78,10.07,5.47,0.3,62.24,-3.43,-4.72,291.37,69.59,100428.13,18.33,109.52,海南省
3,22.24,26.04,10.36,5.28,0.3,63.58,-2.92,-5.32,290.74,72.94,100569.27,18.33,109.66,海南省
4,19.68,22.34,7.62,3.58,0.29,66.21,-2.51,-3.13,291.67,65.97,101620.34,18.49,108.83,海南省
5,19.78,22.2,7.85,3.66,0.28,67.54,-2.31,-3.07,291.07,69.73,100705.41,18.49,108.97,海南省
6,21.38,24.03,8.23,4.2,0.29,65.42,-2.01,-2.71,290.27,73.04,99429.7,18.48,109.11,海南省
7,22.77,25.9,8.65,5.01,0.29,62.75,-2.71,-2.38,290.68,73.15,98725.98,18.48,109.25,海南省
8,23.01,26.19,9.09,5.48,0.29,62.19,-3.52,-2.37,290.45,73.52,97831.25,18.47,109.39,海南省
9,24.67,27.86,9.74,5.99,0.3,60.94,-2.78,-3.98,289.76,76.24,97716,18.46,109.53,海南省
10,24.53,27.72,10.22,6.09,0.3,61.63,-1.95,-4.5,290.61,73.4,100062.21,18.46,109.67,海南省
11,23.86,27,10.65,6,0.3,63.28,-2.11,-5.51,291.19,70.83,101334.05,18.45,109.81,海南省
12,25.36,29.19,10.94,6.77,0.31,61.07,-2.27,-7.39,290.95,72.47,101534.98,18.45,109.95,海南省
13,21.6,24.49,7.93,3.85,0.29,64.6,-2.61,-2.15,290.42,72.49,98398.15,18.62,108.84,海南省
14,22.56,25.28,7.83,3.96,0.28,64.31,-2.58,-2.63,289.47,75.57,98153.36,18.62,108.98,海南省
15,22.2,24.82,8.14,4.1,0.28,64.61,-2.61,-2.69,290.03,73.29,99460.97,18.61,109.12,海南省
16,24.36,27.37,8.53,4.58,0.29,61.69,-3.21,-2.93,289.63,74.58,98318.98,18.61,109.26,海南省
17,25.99,29.03,9.1,5.04,0.29,62.45,-3.15,-1.65,288.24,80.52,95471.41,18.6,109.4,海南省
18,27.35,30.54,9.29,5.69,0.3,60.92,-2.45,-2.98,288.11,80.45,95832.2,18.6,109.54,海南省
19,26.06,29.36,9.97,6.09,0.3,61.57,-2.18,-4.71,290,74.4,98836.73,18.59,109.67,海南省
20,26.96,30.69,10.67,6.53,0.3,61.2,-2.35,-6.36,290.56,73.61,99938.02,18.59,109.81,海南省
21,28.18,31.88,11.42,7.38,0.31,60.02,-1.63,-7.27,290.14,75.75,100177.26,18.58,109.95,海南省
22,29.11,33.98,11.58,8.15,0.32,57.05,-1.17,-8.27,290.04,75.28,100821.04,18.57,110.09,海南省
23,22.04,25.27,8.87,4.4,0.3,61.43,-3.05,-1.97,291.18,67.88,100144.12,18.76,108.7,海南省
24,23.95,27.03,8.5,4.14,0.3,62.47,-2.96,-0.78,289.07,76.77,96438.2,18.75,108.84,海南省
25,24.38,27.27,8.26,4.15,0.29,62.72,-2.88,-1.36,288.4,78.35,96405.84,18.75,108.98,海南省
26,23.43,26.22,8.41,4.21,0.29,63.66,-3.2,-2.69,289.37,74.72,98045.27,18.75,109.12,海南省
27,26.24,29.49,8.83,4.68,0.29,60.84,-3.53,-3.68,288.89,76.94,98033.6,18.74,109.26,海南省
28,28.56,32.01,9.48,5.27,0.3,60.55,-3.41,-2.32,287.94,81.49,96280.41,18.73,109.4,海南省
29,29.6,33.06,9.87,5.91,0.3,60.65,-3.24,-2.59,287.39,83.4,94968.76,18.73,109.54,海南省
30,29.87,33.29,10.52,6.25,0.3,62.27,-2.8,-4.4,287.3,83.93,95151.98,18.72,109.68,海南省
31,31.74,35.58,11.03,6.9,0.31,60.56,-1.65,-5.99,287.26,84.67,96151.28,18.72,109.82,海南省
32,33.41,38.61,11.3,8.07,0.32,56.39,-0.58,-6.69,288.03,82.21,98095.79,18.71,109.96,海南省
33,32.41,37.98,11.88,8.89,0.32,55.77,-0.47,-7.05,289.15,79.45,99574.71,18.7,110.1,海南省
34,32.28,38.2,12.48,9.88,0.33,55.33,-0.3,-7.62,289.65,77.71,100588.22,18.7,110.24,海南省
35,30.2,37.26,11.79,9.07,0.33,61.23,0.08,-9.23,290.77,81.24,101573.41,18.69,110.38,海南省
